Sl.No,Course Code,Course Name,AS,AA,AB,BB,BC,CC,CD,DD,FA,FD,FP,I,NP,PP,Grand Total,HoD,Hardcopy Received
379,HS 525,India's Development: Issues and Debates,0,3,7,15,12,4,0,0,0,0,1,0,0,0,42,Forwarded,Yes
380,HS 526,Conflict and Financial Diplomacy,0,1,1,4,3,3,1,0,0,0,0,0,0,0,13,Forwarded,Yes
381,HS 551,Foundational Linguistics,0,2,2,5,0,1,0,0,0,0,0,0,0,1,11,Forwarded,Yes
382,HS 552,Critical Reasoning,0,2,3,1,0,1,0,0,0,0,0,0,0,1,8,Forwarded,Yes
383,HS 556,Introduction to Literary Studies,0,0,1,5,2,1,1,0,0,0,0,0,0,0,10,Forwarded,Yes
384,HS 557,"Language, Rhythm and Prosody",0,1,0,2,3,0,0,0,0,0,0,0,0,0,6,Forwarded,Yes
385,HS 559,Indian Literary Theory,0,1,4,1,0,2,0,0,0,0,0,0,0,0,8,Forwarded,No
386,HS 561,Historical Studies,0,0,2,4,4,0,0,0,0,0,0,0,0,0,10,Forwarded,Yes
387,HS 562,International Relations and Diplomacy,0,3,3,6,1,2,0,0,0,0,0,0,0,0,15,Forwarded,Yes
388,HS 563,Early Womens Writing in English,0,0,1,2,2,1,0,0,0,0,0,0,0,0,6,Forwarded,Yes
389,HS 567,Cultural Studies: Concepts and Theories in the Indian Context,0,0,2,5,2,3,3,0,0,0,0,0,0,0,15,Forwarded,Yes
390,HS 697,Project II,1,3,5,3,1,0,0,0,2,0,0,0,0,0,15,Forwarded,Yes
391,HS 699,Dissertation,0,6,13,11,9,2,0,0,1,0,0,0,0,0,42,Forwarded,Yes
392,HS 706,Topics in Economics,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,Forwarded,Yes
393,HS 721,Research in Cultural Studies,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,Forwarded,Yes
394,HS 726,History of Assam,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,Forwarded,Yes
395,HS 727,Issues in Historical Research,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,Forwarded,Yes
396,HS 734,Perspectives in Linguistics,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Forwarded,Yes
397,HS 755,Introduction to Econometrics,0,0,0,3,1,0,0,0,0,0,0,0,0,1,5,Forwarded,Yes
398,HS 769,RESEARCH METHODS IN LINGUISTICS,0,0,1,2,1,0,0,0,0,0,0,0,0,0,4,Forwarded,Yes
399,HS 774,Development Planning and Official Statistics in India,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,Forwarded,Yes
400,HS 784,Acoustic Analyses of Tone Languages,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,Forwarded,Yes
401,HT 506,Biotechniques and Bioinstrumentation Laboratory,1,2,15,7,0,0,0,0,0,0,0,0,0,0,25,Forwarded,No
402,HT 507,Diagnostics & Devices Laboratory,2,3,6,6,0,0,0,0,0,0,0,0,0,0,17,Forwarded,No
403,HT 508,Product Design and Prototyping Laboratory,0,5,14,6,0,0,0,0,0,0,0,0,0,0,25,Forwarded,No
404,HT 509,Regenerative Medicine and Stem Cells Laboratory,0,2,4,2,0,0,0,0,0,0,0,0,0,0,8,Forwarded,No
405,HT 510,Tissue Engineering and Regenerative Medicine,1,3,4,3,0,0,0,0,0,0,0,0,0,0,11,Forwarded,No
406,HT 511,Stem Cells and Therapeutics,0,3,5,2,0,0,0,0,0,0,1,0,0,0,11,Forwarded,No
407,HT 601,"Medical Diagnostic Devices, BioMEMS, and Biosensors",2,4,7,5,0,0,0,0,0,0,0,0,0,0,18,Forwarded,No
408,HT 602,Regulatory Affairs of Biomedical Devices,0,4,10,5,0,0,0,0,0,0,0,0,0,0,19,Forwarded,No
409,HT 603,Advanced Immunology,1,3,11,11,1,0,0,0,0,0,1,0,0,0,28,Forwarded,No
410,IFST 017,Joint Degree Dissertation I,0,2,2,1,0,0,0,0,0,0,0,0,0,0,5,Forwarded,Yes
411,LS 531,Data Structure and Programming,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,Forwarded,No
412,MA 102,Mathematics - 2,5,13,37,87,122,162,152,176,3,4,198,1,0,0,960,Forwarded,Yes
413,MA 212M,Mathematical Statistics,1,1,1,2,5,8,2,0,0,0,0,0,0,0,20,Forwarded,Yes
414,MA 224,Real Analysis,0,8,15,14,12,15,9,6,0,0,1,0,0,0,80,Forwarded,Yes
415,MA 252,Design and Analysis of Algorithms,0,4,13,15,21,19,8,8,0,0,0,0,0,0,88,Forwarded,Yes
416,MA 271,Financial Engineering  I,0,3,11,19,27,11,5,3,0,0,0,0,1,4,84,Forwarded,Yes
417,MA 312M,Modern Algebra,1,2,4,2,1,7,6,4,2,0,0,0,0,0,29,Forwarded,yes
418,MA 322,Scientific Computing,2,8,11,9,18,17,15,0,0,0,0,0,0,0,80,Forwarded,yes
419,MA 324,Statistical Inference and Multivariate Analysis,2,3,5,12,15,32,9,0,0,0,0,0,0,0,78,Forwarded,Yes
420,MA 351,Theory of Computation,0,2,4,7,8,13,27,17,0,0,3,0,0,0,81,Forwarded,Yes
421,MA 373,Financial Engineering  II,0,12,9,20,18,7,10,2,0,0,0,0,0,0,78,Forwarded,Yes
422,MA 374,Financial Engineering Laboratory,1,6,19,10,16,25,1,0,0,0,0,0,0,0,78,Forwarded,Yes
423,MA 424,Advanced Linear Algebra,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Forwarded,yes
424,MA 499,Project  II,4,41,7,16,7,2,1,1,0,0,0,0,0,0,79,Forwarded,No
425,MA 506,Number Theory and Cryptography,0,3,3,4,3,1,0,0,0,0,0,0,0,2,16,Forwarded,Yes
426,MA 512,Data Structures and Algorithms,1,3,2,2,4,1,6,9,2,0,0,0,0,0,30,Forwarded,yes
427,MA 542,Differential Equations,0,1,3,8,9,5,1,1,1,0,1,0,0,0,30,Forwarded,yes
428,MA 547,Complex Analysis,1,6,11,9,20,14,2,3,1,0,2,0,0,0,69,Forwarded,No
429,MA 548,Ordinary Differential Equations,0,3,2,6,12,2,1,0,0,0,4,0,0,0,30,Forwarded,Yes
430,MA 549,Topology,0,2,0,0,1,4,6,3,4,0,10,0,0,1,31,Forwarded,Yes
431,MA 550,Measure Theory,0,0,0,0,1,2,4,1,0,0,0,0,0,0,8,Forwarded,Yes
432,MA 571,Numerical Linear Algebra,0,2,2,10,12,13,9,7,0,1,5,0,0,1,62,Forwarded,Yes
433,MA 573,Numerics of Partial Differential Equations,0,0,2,5,22,8,16,3,0,0,4,0,0,0,60,Forwarded,yes
434,MA 588,R Programming Lab,0,2,6,3,2,2,2,0,1,0,0,0,0,0,18,Forwarded,No
435,MA 590,Probability Theory,0,5,10,12,17,2,5,2,1,0,6,0,0,0,60,Forwarded,yes
436,MA 591,Optimization Techniques,1,5,5,2,7,14,9,6,0,0,14,0,0,0,63,Forwarded,Yes
437,MA 617,Design and Analysis of Algorithms,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Forwarded,Yes
438,MA 618,Mathematics for Computer Science,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,Forwarded,Yes
439,MA 619,Data Structures Lab,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Forwarded,Yes
440,MA 622,Galois Theory,0,1,3,0,2,0,1,2,0,0,3,0,0,0,12,Forwarded,yes
441,MA 625,Linear Algebra-I,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Forwarded,Yes
442,MA 641,Operator Theory in Hilbert Spaces,0,1,0,1,2,2,0,0,0,0,1,0,1,2,10,Forwarded,Yes
443,MA 642,Real Analysis-1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,Forwarded,yes
444,MA 653,Network Science,0,4,7,10,17,15,14,11,0,2,5,0,0,0,85,Forwarded,Yes
445,MA 654,Advanced Data Structures and Algorithms,0,4,4,6,3,4,4,8,0,0,0,0,3,2,38,Forwarded,Yes
446,MA 662,Differential Equations,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,Forwarded,yes
447,MA 668,Algorithmic and High Frequency Trading,7,6,6,12,21,24,24,7,0,0,0,0,0,0,107,Forwarded,yes
448,MA 671,Finite Element Methods for Partial Differential Equations,1,4,2,6,4,2,0,3,0,0,0,0,0,0,22,Forwarded,No
449,MA 682,Statistical Inference,0,0,0,6,9,6,5,6,0,0,0,0,0,0,32,Forwarded,No
450,MA 684,Advanced Probability,2,1,6,6,8,7,11,8,0,1,12,0,1,0,63,Forwarded,yes
451,MA 699,Project,0,29,16,7,5,1,0,0,0,0,3,0,0,0,61,Forwarded,Yes
452,MA 753,Perturbation Techniques,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,Forwarded,yes
453,MA 781,Statistical Methodologies for Modern Clinical Studies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Forwarded,No
454,ME 101,Engineering Mechanics,6,76,120,168,263,197,134,27,3,1,0,1,0,0,996,Forwarded,No
455,ME 110,Workshop I,0,112,206,174,6,1,0,0,0,0,0,0,0,0,499,Forwarded,Yes
456,ME 221,Fluid Mechanics II,2,11,13,16,14,16,14,15,0,0,16,0,0,0,117,Forwarded,Yes
457,ME 222,Manufacturing Technology I,1,9,18,30,39,9,9,3,0,0,0,0,0,0,118,Forwarded,Yes
458,ME 223,Solid Mechanics II,0,2,3,14,18,23,21,24,0,0,13,0,0,0,118,Forwarded,yes
459,ME 224,Kinematics of Machinery,1,9,31,44,25,3,2,1,0,0,0,0,0,0,116,Forwarded,Yes
460,ME 225,Mechanical Workshop II,0,95,20,2,0,0,0,0,3,0,0,0,0,0,120,Forwarded,Yes
461,ME 226,Mechanical Engineering Lab II,0,21,39,48,9,0,0,0,2,0,0,0,0,0,119,Forwarded,Yes
462,ME 302M,Fundamentals of Artificial Intelligence,0,2,1,2,2,0,0,0,0,0,0,0,0,5,12,Forwarded,Yes
463,ME 321,Applied Thermodynamics,2,10,22,30,30,10,5,4,0,0,0,0,0,0,113,Forwarded,Yes
464,ME 322,Machine Design,0,20,24,40,15,5,4,3,0,0,2,0,0,0,113,Forwarded,No
465,ME 323,Mechanical Measurements,0,3,21,37,27,17,0,5,0,0,3,0,0,0,113,Forwarded,No
466,ME 324,Industrial Engineering and Operations Reseach.,0,19,26,32,16,8,4,3,0,0,3,2,0,0,113,Forwarded,yes
467,ME 325,Control Systems,0,17,19,20,22,13,11,5,1,1,4,0,1,0,114,Forwarded,Yes
468,ME 326,Mechanical Engineering Lab IV,0,11,43,37,12,6,2,0,0,0,2,2,0,0,115,Forwarded,yes
469,ME 398,BTech Project-I,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Forwarded,#N/A
470,ME 399,BTech Project-II,0,14,35,41,12,4,3,1,0,0,0,2,0,0,112,Forwarded,Yes
471,ME 401,Summer Training,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Forwarded,#N/A
472,ME 499,Project-II,0,24,33,48,14,1,2,0,0,0,0,0,0,0,122,Forwarded,Yes
473,ME 503,Technical Writing,0,18,26,29,22,20,6,0,0,0,0,0,1,1,123,Forwarded,yes
474,ME 511,Engineering Materials and Characterization,0,4,6,18,8,5,1,0,0,0,0,0,0,0,42,Forwarded,yes
475,ME 513,Physics of Deformation Processes,0,8,13,13,8,5,1,0,0,0,0,0,0,0,48,Forwarded,yes
476,ME 515,Manufacturing Laboratory,0,15,30,2,0,0,0,0,0,0,0,0,0,0,47,Forwarded,yes
477,ME 522,Convective Heat Transfer,0,1,2,3,6,2,7,4,1,0,6,0,0,0,32,Forwarded,yes
478,ME 541,Continuum Mechanics,0,1,0,3,3,1,3,2,1,0,1,0,0,0,15,Forwarded,yes
479,ME 542,Numerical Analysis,2,9,15,13,5,5,3,4,0,0,1,0,0,0,57,Forwarded,Yes
480,ME 544,Computational Mechanics Laboratory,0,3,2,5,1,0,0,0,0,0,0,0,0,0,11,Forwarded,yes
481,ME 552,Aircraft Propulsion,0,7,9,14,9,2,0,0,0,0,0,0,0,1,42,Forwarded,Yes
482,ME 553,Gas Dynamics,0,1,4,4,5,1,0,0,1,0,0,0,0,0,16,Forwarded,yes
483,ME 554,Rocket Propulsion,0,1,4,5,0,0,0,0,0,0,0,0,0,0,10,Forwarded,yes
484,ME 605,Fracture  Fatigue and Failure Analysis,0,3,8,29,22,14,0,1,0,0,0,0,0,0,77,Forwarded,yes
485,ME 607,Introduction to Composite Materials,0,6,20,23,22,20,13,7,0,0,0,0,0,0,111,Forwarded,Yes
486,ME 609,Optimization Methods in Engineering,0,8,5,9,12,10,1,1,1,0,2,0,0,0,49,Forwarded,yes
487,ME 613,Nonlinear Vibration,0,6,3,2,1,3,4,3,0,0,0,2,0,1,25,Forwarded,yes
488,ME 615,Rotor Dynamics,1,6,7,14,3,2,2,0,0,0,0,0,1,0,36,Forwarded,Yes
489,ME 617,Manufacturing of Polymers and Polymer Composites,0,3,6,11,2,3,0,0,1,0,0,0,0,0,26,Forwarded,yes
490,ME 619,Fundamentals of Microfluidics,0,2,4,5,2,5,0,0,0,0,0,0,0,0,18,Forwarded,yes
491,ME 620,Fundamentals of Artificial Intelligence,0,72,75,107,26,6,0,0,0,0,0,0,0,0,286,Forwarded,Yes
492,ME 622,Fundamentals of Fusion Energy Generation and Tokamaks,0,3,1,4,2,5,2,4,0,0,0,0,0,0,21,Forwarded,yes
493,ME 623,Dynamics of Machining Processes,2,15,18,32,24,7,5,4,0,0,13,0,0,1,121,Forwarded,yes
494,ME 648,Viscous Fluid Flow,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Forwarded,Yes
495,ME 657,Two Phase Flow and Heat Transfer,0,4,3,4,2,2,0,0,0,0,0,0,0,0,15,Forwarded,yes
496,ME 670,Advanced Computational Fluid Dynamics,0,1,1,3,1,0,0,0,0,0,0,0,0,2,8,Forwarded,yes
497,ME 692,Gear Engineering,1,6,18,12,10,5,3,1,0,0,1,0,0,0,57,Forwarded,yes
498,ME 696,Biomedical Devices and Systems,0,5,12,21,20,23,11,12,10,0,0,0,0,1,115,Forwarded,yes
499,NCC,NCC,0,0,0,0,0,0,0,0,0,0,0,0,15,91,106,Forwarded,yes
500,PH 102,Physics 2,0,40,107,134,129,164,151,155,0,1,63,1,0,0,945,Forwarded,Yes
501,PH 110,Physics Laboratory,9,67,151,155,43,9,2,1,1,0,1,0,0,0,439,Forwarded,yes
502,PH 202,Electromagnetics,0,2,4,15,7,20,6,7,0,0,0,0,0,0,61,Forwarded,No
503,PH 204,Quantum Mechanics-I,0,1,2,5,15,11,8,13,0,0,3,0,0,0,58,Forwarded,Yes
504,PH 206,Computational Physics,1,18,10,14,7,2,4,1,0,0,0,0,0,0,57,Forwarded,Yes
505,PH 208,Digital electronics & microprocessors,0,8,7,5,8,12,10,8,0,0,2,0,0,0,60,Forwarded,Yes
506,PH 210,General Physics Laboratory-I,0,0,6,34,16,2,1,0,0,0,0,0,0,0,59,Forwarded,Yes
507,PH 282M,Engineering optics,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Forwarded,Yes
508,PH 302,Solid state physics,0,4,11,12,9,10,6,4,0,0,5,0,0,0,61,Forwarded,yes
509,PH 304,Measurement techniques,1,1,5,15,14,14,10,3,0,0,1,0,0,0,64,Forwarded,Yes
510,PH 306,Lasers and Ultra Fast Optics,1,6,12,18,6,10,5,2,0,0,0,0,0,0,60,Forwarded,Yes
511,PH 308,Nuclear Science and Engineering,0,4,11,23,11,10,1,1,0,0,0,0,0,0,61,Forwarded,Yes
512,PH 310,Advance Physics Laboratory,3,23,18,7,4,5,2,0,0,0,0,0,0,0,62,Forwarded,Yes
513,PH 312,Mini Project,4,14,29,6,5,2,0,1,0,0,0,0,0,0,61,Forwarded,Yes
514,PH 382M,Laser Physics and Technology,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,Forwarded,Yes
515,PH 402,Mathematical Physics-II,0,2,2,10,11,9,10,10,0,0,1,0,1,0,56,Forwarded,Yes
516,PH 404,Statistical Mechanics,0,3,7,14,11,10,3,3,0,0,4,0,0,0,55,Forwarded,Yes
517,PH 406,Quantum Mechanics-II,0,0,1,3,10,8,24,12,1,0,0,0,0,0,59,Forwarded,No
518,PH 408,Measurement techniques,0,8,10,7,14,9,5,2,0,0,1,0,0,0,56,Forwarded,yes
519,PH 410,Electrodynamics-I,0,4,3,11,11,8,9,4,0,0,4,0,0,0,54,Forwarded,yes
520,PH 412,General Physics Laboratory-I,3,29,18,4,0,0,0,0,0,0,0,0,0,0,54,Forwarded,yes
521,PH 422,Project-II,0,5,15,6,5,3,0,0,1,0,0,0,0,0,35,Forwarded,yes
522,PH 441,Quantum Computation and Cryptography,0,2,4,10,11,4,2,1,0,0,2,0,2,1,39,Forwarded,No
523,PH 456,Physics of Carbon-Based Materials,0,2,2,8,13,14,5,2,0,0,0,0,0,0,46,Forwarded,yes
524,PH 463,Theory of relativity,0,6,3,1,2,3,4,0,0,0,0,0,1,0,20,Forwarded,yes
525,PH 464,Fundamentals of cosmology,0,2,4,7,12,6,9,10,0,0,3,0,0,1,54,Forwarded,No
526,PH 465,Optoelectronics,3,4,7,5,3,2,0,0,0,0,0,0,0,0,24,Forwarded,yes
527,PH 466,Advanced Statistical Mechanics,0,3,3,1,5,7,16,3,0,0,0,0,0,0,38,Forwarded,yes
528,PH 516,Advance Physics Laboratory,0,7,29,12,2,1,0,0,0,0,0,0,0,0,51,Forwarded,yes
529,PH 518,Project-II,0,15,21,10,1,2,0,0,0,0,1,1,0,0,51,Forwarded,yes
530,PH 523,Magnetism and Superconductivity,0,10,13,16,15,12,4,4,0,0,0,0,0,0,74,Forwarded,yes
531,PH 531,Laser Physics,4,8,13,6,3,0,0,0,0,0,0,0,0,0,34,Forwarded,yes
532,PH 533,Nonlinear optics,0,1,0,2,1,1,0,0,0,0,0,0,0,1,6,Forwarded,yes
533,PH 541,Quantum computation & Quantum information,1,3,9,13,14,0,6,1,0,0,0,0,0,1,48,Forwarded,yes
534,PH 544,High Energy Physics,0,1,1,2,7,3,2,2,0,0,0,0,0,2,20,Forwarded,yes
535,PH 702,Statistical methods in Condensed Matter Physics,4,0,2,6,5,3,0,2,0,0,0,0,0,2,24,Forwarded,yes
536,PH 704,Guided and Fourier Wave Optics,0,2,1,9,3,0,0,0,1,0,0,0,0,0,16,Forwarded,yes
537,PH 706,Gravitation and Cosmology,0,0,3,5,6,7,6,1,1,0,0,0,0,1,30,Forwarded,yes
538,PH 708,Mini project,0,13,12,5,0,0,0,0,3,0,0,0,0,0,33,Forwarded,No
539,RA 505,Robot Sensing and Vision,1,1,8,14,5,1,1,0,0,0,0,0,0,0,31,Forwarded,Yes
540,RA 506,Machine Learning,0,4,3,9,10,4,1,0,0,0,0,0,0,0,31,Forwarded,yes
541,RA 607,Underactuated systems,0,1,3,3,4,4,3,1,0,0,0,0,0,0,19,Forwarded,yes
542,RT 512,Livelihood and Entrepreneurship,0,2,1,3,0,1,0,0,0,0,0,1,0,0,8,Forwarded,yes
543,RT 514,Water Resources Management,0,1,3,2,0,0,0,0,0,0,0,0,0,0,6,Forwarded,yes
544,RT 517,Agri-horticultural Produce Processing Technology,0,0,0,2,3,0,2,0,1,0,0,0,0,0,8,Not Processed,#N/A
545,RT 520,Field Work and Communication,0,2,4,0,0,0,0,0,0,0,0,1,0,0,7,Forwarded,yes
546,SA 101,Athletics,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,Forwarded,Yes
547,SA 102,Basketball,0,0,0,0,0,0,0,0,0,0,0,0,2,58,60,Forwarded,No
548,SA 103,Volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,Forwarded,No
549,SA 104,Football,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,Forwarded,No
550,SA 105,Hockey,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,Forwarded,No
551,SA 106,Cricket,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,Forwarded,No
552,SA 107,Badminton,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,Forwarded,No
553,SA 108,Table Tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,Forwarded,No
554,SA 109,Lawn Tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,Forwarded,No
555,SA 110,Yoga,0,0,0,0,0,0,0,0,0,0,0,0,43,351,394,Forwarded,No
556,SA 116,Weight Lifting,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,Forwarded,No
557,SA 117,Swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,Forwarded,No
558,SA 201,Athletics,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
559,SA 203,Volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
560,SA 207,Badminton,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
561,SA 210,YOGA,0,0,0,0,0,0,0,0,0,0,0,0,3,16,19,Forwarded,#N/A
562,SA 216,Weightlifting,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,Forwarded,#N/A
563,SA 217,Swimming,0,0,0,0,0,0,0,0,0,0,0,0,1,15,16,Forwarded,#N/A
564,SA 301,Athletics,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,Forwarded,Yes
565,SA 302,Basketball,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,Forwarded,No
566,SA 303,Volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,Forwarded,No
567,SA 304,Football,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,Forwarded,No
568,SA 305,Hockey,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,Forwarded,No
569,SA 306,Cricket,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,Forwarded,No
570,SA 307,Badminton,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,Forwarded,No
571,SA 308,Table Tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,Forwarded,No
572,SA 309,Lawn Tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,Forwarded,No
573,SA 310,Weightlifting,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,Forwarded,No
574,SA 311,Swimming,0,0,0,0,0,0,0,0,0,0,0,0,2,30,32,Forwarded,No
575,SA 402,Basketball,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,Forwarded,#N/A
576,SA 404,Football,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
577,SA 407,Badminton,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
578,SA 411,Swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
579,SA 415,SA 415,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
